date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,hold_days,regime,vix,alpha_breakdown
2026-06-15,DABUR.NS,SELL,65.7,-0.316,429.15,447.65,401.4,1.5,14631.0,1.46,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.192, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.252, 'confidence': 47.6, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': -0.402, 'confidence': 55.1, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,CHOLAFIN.NS,SELL,67.4,-0.337,1653.6,1757.19,1498.22,1.5,10329.0,1.03,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.178, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.254, 'confidence': 47.7, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.5, 'confidence': 60.0, 'live': False}, 'sector_mom': {'score': -0.14, 'confidence': 42.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,TECHM.NS,SELL,62.8,-0.356,1425.6,1516.46,1289.31,1.5,9460.0,0.95,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.37, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.077, 'confidence': 33.8, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.476, 'confidence': 58.8, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,AARTIIND.NS,SELL,72.4,-0.401,498.15,530.63,449.43,1.5,10660.0,1.07,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.137, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.75, 'confidence': 81.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.8, 'confidence': 70.0, 'live': False}, 'sector_mom': {'score': 0.179, 'confidence': 43.9, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,COLPAL.NS,SELL,68.7,-0.406,2057.7,2145.44,1926.09,1.5,15467.0,1.55,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.274, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.05, 'confidence': 32.5, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.402, 'confidence': 55.1, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,ARE&M.NS,SELL,61.5,-0.424,837.1,884.85,765.47,1.5,10350.0,1.04,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.548, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.039, 'confidence': 31.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,ANGELONE.NS,SELL,77.0,-0.457,352.3,377.18,314.98,1.5,10468.0,1.05,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.096, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.15, 'confidence': 38.1, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.8, 'confidence': 70.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,BHARTIHEXA.NS,SELL,68.2,-0.461,1475.6,1542.63,1375.06,1.5,14413.0,1.44,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.397, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.092, 'confidence': 34.6, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,HAL.NS,SELL,69.9,-0.468,4284.7,4473.39,4001.67,1.5,15238.0,1.52,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.356, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.008, 'confidence': 30.4, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.013, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-15,BIKAJI.NS,SELL,71.2,-0.476,659.55,692.98,609.41,1.5,13486.0,1.35,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.329, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.95, 'confidence': 83.5, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
