date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-28,BHARTIARTL.NS,BUY,0.633,65.0,1852.2,1770.83,1974.26,1.5,SIDEWAYS
2026-05-28,BAJFINANCE.NS,BUY,0.6,60.0,931.15,889.11,994.21,1.5,SIDEWAYS
2026-05-28,DIVISLAB.NS,BUY,0.6,60.0,6797.5,6484.21,7267.43,1.5,SIDEWAYS
2026-05-28,SUNPHARMA.NS,BUY,0.544,62.5,1844.3,1765.6,1962.35,1.5,SIDEWAYS
2026-05-28,HINDUNILVR.NS,BUY,0.514,57.5,2198.4,2110.8,2329.8,1.5,SIDEWAYS
2026-05-28,COALINDIA.NS,BUY,0.467,57.5,463.05,436.71,502.56,1.5,SIDEWAYS
2026-05-28,DRREDDY.NS,BUY,0.433,57.5,1319.0,1256.89,1412.17,1.5,SIDEWAYS
2026-05-28,RELIANCE.NS,HOLD,0.3,50.0,1350.5,1309.98,1391.02,1.0,SIDEWAYS
2026-05-28,POWERGRID.NS,HOLD,0.3,52.5,300.15,291.15,309.15,1.0,SIDEWAYS
2026-05-28,TITAN.NS,HOLD,0.244,55.0,4137.9,4013.76,4262.04,1.0,SIDEWAYS
2026-05-28,ITC.NS,HOLD,0.241,67.5,291.95,283.19,300.71,1.0,SIDEWAYS
2026-05-28,NTPC.NS,HOLD,0.224,61.2,398.15,386.21,410.09,1.0,SIDEWAYS
2026-05-28,TATASTEEL.NS,HOLD,0.171,70.0,214.7,208.26,221.14,1.0,SIDEWAYS
2026-05-28,EICHERMOT.NS,HOLD,0.0,63.8,7419.0,7196.43,7641.57,1.0,SIDEWAYS
2026-05-28,LT.NS,HOLD,-0.043,65.0,4047.5,3926.07,4168.93,1.0,SIDEWAYS
2026-05-28,ASIANPAINT.NS,HOLD,-0.106,62.5,2671.9,2591.74,2752.06,1.0,SIDEWAYS
2026-05-28,TCS.NS,HOLD,-0.136,70.0,2284.2,2215.67,2352.73,1.0,SIDEWAYS
2026-05-28,INFY.NS,HOLD,-0.136,70.0,1159.9,1125.1,1194.7,1.0,SIDEWAYS
2026-05-28,KOTAKBANK.NS,HOLD,-0.144,55.0,388.7,377.04,400.36,1.0,SIDEWAYS
2026-05-28,SBIN.NS,HOLD,-0.171,70.0,967.8,938.77,996.83,1.0,SIDEWAYS
2026-05-28,BAJAJFINSV.NS,SELL,-0.271,58.3,1809.1,1875.64,1709.29,1.5,SIDEWAYS
2026-05-28,AXISBANK.NS,SELL,-0.294,58.8,1304.1,1351.84,1232.49,1.5,SIDEWAYS
2026-05-28,CIPLA.NS,SELL,-0.329,66.7,1418.2,1481.14,1323.79,1.5,SIDEWAYS
2026-05-28,MARUTI.NS,SELL,-0.367,65.0,13364.0,13878.14,12592.79,1.5,SIDEWAYS
2026-05-28,WIPRO.NS,HOLD,-0.367,52.5,201.58,195.53,207.63,1.0,SIDEWAYS
2026-05-28,ADANIENT.NS,SELL,-0.375,70.0,2973.1,3163.09,2688.12,1.5,SIDEWAYS
2026-05-28,ICICIBANK.NS,SELL,-0.414,56.7,1272.7,1316.5,1207.0,1.5,SIDEWAYS
2026-05-28,HDFCBANK.NS,SELL,-0.45,56.7,758.65,788.64,713.67,1.5,SIDEWAYS
2026-05-28,HCLTECH.NS,SELL,-0.711,65.0,1165.2,1214.06,1091.91,1.5,SIDEWAYS
