date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-05,EICHERMOT.NS,BUY,0.729,66.7,7110.0,6822.36,7541.46,1.5,SIDEWAYS
2026-06-05,DIVISLAB.NS,BUY,0.675,65.0,6596.5,6293.36,7051.21,1.5,SIDEWAYS
2026-06-05,BAJAJFINSV.NS,BUY,0.675,66.7,1709.8,1643.83,1808.76,1.5,SIDEWAYS
2026-06-05,SUNPHARMA.NS,BUY,0.635,66.2,1780.1,1707.21,1889.43,1.5,SIDEWAYS
2026-06-05,TATASTEEL.NS,BUY,0.633,60.0,210.57,202.21,223.11,1.5,SIDEWAYS
2026-06-05,ADANIENT.NS,BUY,0.6,60.0,2972.8,2824.0,3196.0,1.5,SIDEWAYS
2026-06-05,CIPLA.NS,BUY,0.6,60.0,1398.7,1350.76,1470.61,1.5,SIDEWAYS
2026-06-05,BAJFINANCE.NS,BUY,0.565,63.8,874.4,833.19,936.22,1.5,SIDEWAYS
2026-06-05,NTPC.NS,BUY,0.535,65.0,366.4,349.99,391.01,1.5,SIDEWAYS
2026-06-05,LT.NS,BUY,0.514,61.7,3942.1,3811.11,4138.58,1.5,SIDEWAYS
2026-06-05,HINDUNILVR.NS,BUY,0.508,65.0,2079.4,1994.17,2207.24,1.5,SIDEWAYS
2026-06-05,DRREDDY.NS,BUY,0.494,60.0,1267.5,1220.8,1337.55,1.5,SIDEWAYS
2026-06-05,ASIANPAINT.NS,BUY,0.433,57.5,2661.6,2542.56,2840.16,1.5,SIDEWAYS
2026-06-05,BHARTIARTL.NS,BUY,0.411,57.5,1818.9,1754.26,1915.86,1.5,SIDEWAYS
2026-06-05,KOTAKBANK.NS,BUY,0.411,57.5,381.5,365.51,405.49,1.5,SIDEWAYS
2026-06-05,RELIANCE.NS,BUY,0.408,60.0,1303.7,1257.5,1373.0,1.5,SIDEWAYS
2026-06-05,AXISBANK.NS,BUY,0.371,60.0,1253.3,1206.36,1323.71,1.5,SIDEWAYS
2026-06-05,MARUTI.NS,BUY,0.371,56.7,13064.0,12546.14,13840.79,1.5,SIDEWAYS
2026-06-05,POWERGRID.NS,BUY,0.282,62.5,284.6,271.17,304.74,1.5,SIDEWAYS
2026-06-05,SBIN.NS,HOLD,0.233,65.0,979.25,949.87,1008.63,1.0,SIDEWAYS
2026-06-05,TITAN.NS,HOLD,0.067,62.5,4231.0,4104.07,4357.93,1.0,SIDEWAYS
2026-06-05,ITC.NS,HOLD,-0.065,58.8,280.3,271.89,288.71,1.0,SIDEWAYS
2026-06-05,COALINDIA.NS,HOLD,-0.159,66.2,481.65,467.2,496.1,1.0,SIDEWAYS
2026-06-05,HDFCBANK.NS,HOLD,-0.367,52.5,754.2,731.57,776.83,1.0,SIDEWAYS
2026-06-05,ICICIBANK.NS,HOLD,-0.367,52.5,1251.7,1214.15,1289.25,1.0,SIDEWAYS
2026-06-05,WIPRO.NS,HOLD,-0.367,52.5,204.32,198.19,210.45,1.0,SIDEWAYS
2026-06-05,TCS.NS,SELL,-0.711,65.0,2241.0,2358.49,2064.77,1.5,SIDEWAYS
2026-06-05,INFY.NS,SELL,-0.711,65.0,1201.3,1255.39,1120.17,1.5,SIDEWAYS
2026-06-05,HCLTECH.NS,SELL,-0.711,65.0,1168.3,1216.24,1096.39,1.5,SIDEWAYS
