date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-01,DIVISLAB.NS,BUY,0.767,70.0,6667.0,6348.0,7145.5,1.5,SIDEWAYS
2026-06-01,BHARTIARTL.NS,BUY,0.633,65.0,1829.0,1754.47,1940.79,1.5,SIDEWAYS
2026-06-01,COALINDIA.NS,BUY,0.467,57.5,457.9,432.02,496.72,1.5,SIDEWAYS
2026-06-01,SUNPHARMA.NS,BUY,0.435,66.0,1799.2,1716.33,1923.51,1.5,SIDEWAYS
2026-06-01,DRREDDY.NS,BUY,0.433,57.5,1303.5,1239.83,1399.01,1.5,SIDEWAYS
2026-06-01,HINDUNILVR.NS,BUY,0.4,66.2,2153.5,2067.26,2282.86,1.5,SIDEWAYS
2026-06-01,TATASTEEL.NS,BUY,0.4,65.0,208.02,198.61,222.13,1.5,SIDEWAYS
2026-06-01,EICHERMOT.NS,BUY,0.3,61.7,7177.0,6842.21,7679.18,1.5,SIDEWAYS
