date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
2026-06-08,HINDALCO.NS,BUY,64.8,0.728,1092.6,1031.47,1184.29,1.5,15552.0,1.56,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.965, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.106, 'confidence': 49.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.286, 'confidence': 49.3}}"
2026-06-08,NTPC.NS,BUY,64.0,0.632,361.65,344.66,387.13,1.5,15360.0,1.54,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.614, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.147, 'confidence': 47.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.032, 'confidence': 0.0}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-08,TATAPOWER.NS,BUY,62.7,0.477,409.2,393.74,432.39,1.5,15048.0,1.5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.193, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.001, 'confidence': 30.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-08,GRASIM.NS,BUY,60.2,0.436,3087.7,2962.34,3275.74,1.5,14448.0,1.44,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.439, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.5, 'confidence': 65.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.31, 'confidence': 50.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.113, 'confidence': 40.6}}"
2026-06-08,RELIANCE.NS,BUY,65.8,0.426,1291.0,1246.64,1357.54,1.5,15792.0,1.58,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.263, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 72.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.202, 'confidence': 48.1}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-08,BRITANNIA.NS,SELL,62.8,-0.282,5120.5,5268.93,4897.86,1.5,15072.0,1.51,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.333, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.269, 'confidence': 48.4}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.675, 'confidence': 67.0}, 'sector_mom': {'score': -0.614, 'confidence': 65.7}}"
2026-06-08,KOTAKBANK.NS,SELL,60.3,-0.338,377.45,392.56,354.78,1.5,14472.0,1.45,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.579, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.087, 'confidence': 50.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.013, 'confidence': 0.0}, 'sector_mom': {'score': 0.03, 'confidence': 0.0}}"
2026-06-08,BPCL.NS,SELL,62.5,-0.361,295.0,308.38,274.93,1.5,15000.0,1.5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.439, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.12, 'confidence': 49.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.822, 'confidence': 72.9}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-08,SBIN.NS,SELL,62.8,-0.409,977.7,1012.95,924.82,1.5,15072.0,1.51,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.754, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': -0.077, 'confidence': 33.9}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.679, 'confidence': 67.2}, 'sector_mom': {'score': 0.03, 'confidence': 0.0}}"
2026-06-08,PIDILITIND.NS,SELL,65.3,-0.451,1476.6,1523.5,1406.25,1.5,15672.0,1.57,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.509, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.178, 'confidence': 46.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.63, 'confidence': 65.2}, 'sector_mom': {'score': 0.0, 'confidence': 0.0}}"
