date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-04,TATASTEEL.NS,BUY,0.767,65.0,211.89,202.75,225.6,1.5,SIDEWAYS
2026-06-04,CIPLA.NS,BUY,0.767,70.0,1375.2,1331.77,1440.34,1.5,SIDEWAYS
2026-06-04,HINDUNILVR.NS,BUY,0.675,66.7,2090.6,2003.19,2221.72,1.5,SIDEWAYS
2026-06-04,BAJFINANCE.NS,BUY,0.675,66.7,876.8,835.14,939.29,1.5,SIDEWAYS
2026-06-04,DRREDDY.NS,BUY,0.675,66.7,1263.3,1214.49,1336.52,1.5,SIDEWAYS
2026-06-04,DIVISLAB.NS,BUY,0.675,65.0,6576.5,6265.21,7043.43,1.5,SIDEWAYS
2026-06-04,NTPC.NS,BUY,0.653,66.2,366.8,350.24,391.64,1.5,SIDEWAYS
2026-06-04,SUNPHARMA.NS,BUY,0.635,66.2,1788.5,1715.63,1897.81,1.5,SIDEWAYS
