date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-02,DIVISLAB.NS,BUY,0.775,70.0,6553.5,6226.21,7044.43,1.5,SIDEWAYS
2026-06-02,TATASTEEL.NS,BUY,0.767,65.0,210.57,201.15,224.69,1.5,SIDEWAYS
2026-06-02,HINDUNILVR.NS,BUY,0.675,66.7,2084.3,1992.89,2221.42,1.5,SIDEWAYS
2026-06-02,BAJFINANCE.NS,BUY,0.675,65.0,889.05,847.26,951.73,1.5,SIDEWAYS
2026-06-02,SUNPHARMA.NS,BUY,0.635,66.2,1796.5,1722.94,1906.84,1.5,SIDEWAYS
2026-06-02,BHARTIARTL.NS,BUY,0.633,65.0,1810.6,1734.2,1925.2,1.5,SIDEWAYS
2026-06-02,KOTAKBANK.NS,BUY,0.633,65.0,377.4,360.61,402.58,1.5,SIDEWAYS
2026-06-02,EICHERMOT.NS,BUY,0.633,60.0,7100.5,6757.0,7615.75,1.5,SIDEWAYS
2026-06-02,ADANIENT.NS,BUY,0.6,60.0,2909.4,2730.69,3177.47,1.5,SIDEWAYS
2026-06-02,DRREDDY.NS,BUY,0.6,65.0,1290.4,1229.07,1382.39,1.5,SIDEWAYS
2026-06-02,TITAN.NS,BUY,0.479,63.3,4024.6,3874.73,4249.41,1.5,SIDEWAYS
2026-06-02,SBIN.NS,BUY,0.471,70.0,954.1,923.12,1000.57,1.5,SIDEWAYS
2026-06-02,ASIANPAINT.NS,BUY,0.433,57.5,2632.4,2510.23,2815.66,1.5,SIDEWAYS
2026-06-02,RELIANCE.NS,BUY,0.411,62.5,1320.0,1272.86,1390.71,1.5,SIDEWAYS
2026-06-02,NTPC.NS,BUY,0.35,63.0,378.7,363.09,402.11,1.5,SIDEWAYS
2026-06-02,CIPLA.NS,BUY,0.314,66.7,1390.3,1330.39,1480.17,1.5,SIDEWAYS
2026-06-02,LT.NS,HOLD,0.3,52.5,4010.8,3890.48,4131.12,1.0,SIDEWAYS
2026-06-02,MARUTI.NS,HOLD,0.3,52.5,12946.0,12557.62,13334.38,1.0,SIDEWAYS
2026-06-02,POWERGRID.NS,BUY,0.258,56.7,286.15,272.24,307.02,1.5,SIDEWAYS
2026-06-02,ITC.NS,HOLD,0.241,67.5,279.65,271.26,288.04,1.0,SIDEWAYS
2026-06-02,BAJAJFINSV.NS,HOLD,0.229,63.3,1758.9,1706.13,1811.67,1.0,SIDEWAYS
2026-06-02,HDFCBANK.NS,HOLD,0.141,60.0,742.7,720.42,764.98,1.0,SIDEWAYS
2026-06-02,ICICIBANK.NS,HOLD,0.086,61.7,1239.7,1202.51,1276.89,1.0,SIDEWAYS
2026-06-02,AXISBANK.NS,HOLD,0.078,50.0,1275.9,1237.62,1314.18,1.0,SIDEWAYS
2026-06-02,COALINDIA.NS,HOLD,0.07,63.0,472.6,458.42,486.78,1.0,SIDEWAYS
2026-06-02,WIPRO.NS,HOLD,-0.375,53.3,206.41,200.22,212.6,1.0,SIDEWAYS
2026-06-02,TCS.NS,SELL,-0.711,65.0,2297.4,2387.14,2162.79,1.5,SIDEWAYS
2026-06-02,INFY.NS,SELL,-0.712,66.2,1202.5,1254.7,1124.2,1.5,SIDEWAYS
2026-06-02,HCLTECH.NS,SELL,-0.779,70.0,1195.1,1237.5,1131.5,1.5,SIDEWAYS
