date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
2026-06-07,HINDALCO.NS,BUY,64.5,0.733,1092.6,1031.47,1184.29,1.5,15480.0,1.55,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.965, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.136, 'confidence': 48.2}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.286, 'confidence': 49.3}}"
2026-06-07,NTPC.NS,BUY,63.3,0.642,361.65,344.66,387.13,1.5,15192.0,1.52,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.614, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.195, 'confidence': 45.2}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.079, 'confidence': 0.0}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-07,SUNPHARMA.NS,BUY,60.1,0.603,1782.2,1714.29,1884.07,1.5,14424.0,1.44,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.228, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.138, 'confidence': 48.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.38, 'confidence': 55.2}, 'sector_mom': {'score': 0.248, 'confidence': 47.4}}"
2026-06-07,JSWSTEEL.NS,BUY,60.2,0.591,1284.0,1234.61,1358.08,1.5,14448.0,1.44,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.86, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.326, 'confidence': 51.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.758, 'confidence': 70.3}, 'sector_mom': {'score': 0.286, 'confidence': 49.3}}"
2026-06-07,TATAPOWER.NS,BUY,63.6,0.492,409.2,393.74,432.39,1.5,15264.0,1.53,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.193, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.097, 'confidence': 34.8}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-07,ULTRACEMCO.NS,BUY,60.6,0.45,10912.0,10499.57,11530.64,1.5,14544.0,1.45,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.018, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.571, 'confidence': 63.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.22, 'confidence': 48.8}, 'sector_mom': {'score': -0.113, 'confidence': 40.6}}"
2026-06-07,RELIANCE.NS,BUY,64.0,0.424,1291.0,1246.64,1357.54,1.5,15360.0,1.54,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.263, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.611, 'confidence': 65.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.155, 'confidence': 46.2}, 'sector_mom': {'score': -0.463, 'confidence': 58.2}}"
2026-06-07,MARICO.NS,BUY,68.5,0.403,810.65,777.86,859.84,1.5,16440.0,1.64,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.579, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.65, 'confidence': 70.4}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.695, 'confidence': 67.8}, 'sector_mom': {'score': -0.614, 'confidence': 65.7}}"
2026-06-07,NESTLEIND.NS,BUY,64.0,0.357,1386.2,1333.39,1465.42,1.5,15360.0,1.54,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.684, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.207, 'confidence': 45.4}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.614, 'confidence': 65.7}}"
2026-06-07,BRITANNIA.NS,SELL,62.0,-0.305,5120.5,5268.93,4897.86,1.5,14880.0,1.49,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.333, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.154, 'confidence': 47.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.629, 'confidence': 65.2}, 'sector_mom': {'score': -0.614, 'confidence': 65.7}}"
