date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-05,EICHERMOT.NS,BUY,0.729,66.7,7110.0,6822.36,7541.46,1.5,SIDEWAYS
2026-06-05,DIVISLAB.NS,BUY,0.675,65.0,6596.5,6293.36,7051.21,1.5,SIDEWAYS
2026-06-05,SUNPHARMA.NS,BUY,0.635,66.2,1780.1,1707.21,1889.43,1.5,SIDEWAYS
2026-06-05,TATASTEEL.NS,BUY,0.633,60.0,210.57,202.21,223.11,1.5,SIDEWAYS
2026-06-05,ADANIENT.NS,BUY,0.6,60.0,2972.8,2824.0,3196.0,1.5,SIDEWAYS
2026-06-05,CIPLA.NS,BUY,0.6,60.0,1398.7,1350.76,1470.61,1.5,SIDEWAYS
2026-06-05,NTPC.NS,BUY,0.535,65.0,366.4,349.99,391.01,1.5,SIDEWAYS
2026-06-05,HINDUNILVR.NS,BUY,0.508,65.0,2079.4,1994.17,2207.24,1.5,SIDEWAYS
