date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-27,SUNPHARMA.NS,BUY,0.767,70.0,1840.8,1765.13,1954.31,1.5,SIDEWAYS
2026-05-27,TATASTEEL.NS,BUY,0.767,65.0,210.47,202.09,223.04,1.5,SIDEWAYS
2026-05-27,DIVISLAB.NS,BUY,0.767,70.0,6753.0,6444.36,7215.96,1.5,SIDEWAYS
2026-05-27,BHARTIARTL.NS,BUY,0.633,65.0,1846.9,1766.43,1967.61,1.5,SIDEWAYS
2026-05-27,HINDUNILVR.NS,BUY,0.6,60.0,2209.4,2117.2,2347.7,1.5,SIDEWAYS
2026-05-27,BAJFINANCE.NS,BUY,0.6,60.0,930.2,886.69,995.47,1.5,SIDEWAYS
2026-05-27,NTPC.NS,BUY,0.467,57.5,389.7,374.22,412.92,1.5,SIDEWAYS
2026-05-27,DRREDDY.NS,BUY,0.433,57.5,1327.9,1267.46,1418.56,1.5,SIDEWAYS
