date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
2026-06-11,TATASTEEL.NS,BUY,62.8,0.753,199.31,190.07,213.17,1.5,15072.0,1.51,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.93, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.285, 'confidence': 49.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.589, 'confidence': 63.6}, 'sector_mom': {'score': -0.318, 'confidence': 50.9}}"
2026-06-11,BAJAJ-AUTO.NS,BUY,67.7,0.749,10144.0,9738.14,10752.79,1.5,16248.0,1.62,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.754, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.213, 'confidence': 45.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.086, 'confidence': 0.0}}"
2026-06-11,HINDALCO.NS,BUY,64.6,0.687,1039.3,979.06,1129.66,1.5,15504.0,1.55,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.965, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.243, 'confidence': 47.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.318, 'confidence': 50.9}}"
2026-06-11,SIEMENS.NS,BUY,68.2,0.656,3582.7,3336.14,3952.54,1.5,16368.0,1.64,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.298, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.35, 'confidence': 53.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.554, 'confidence': 62.7}}"
2026-06-11,COALINDIA.NS,BUY,62.0,0.635,451.0,421.96,494.55,1.5,14880.0,1.49,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.474, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.294, 'confidence': 49.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.484, 'confidence': 59.4}, 'sector_mom': {'score': -0.318, 'confidence': 50.9}}"
2026-06-11,NTPC.NS,BUY,63.3,0.615,351.65,333.85,378.35,1.5,15192.0,1.52,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.579, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.557, 'confidence': 62.8}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.145, 'confidence': 45.8}, 'sector_mom': {'score': -0.461, 'confidence': 58.0}}"
2026-06-11,TATACONSUM.NS,BUY,60.0,0.494,1108.0,1054.5,1188.25,1.5,14400.0,1.44,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.368, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': -0.052, 'confidence': 32.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.655, 'confidence': 66.2}, 'sector_mom': {'score': -0.323, 'confidence': 51.1}}"
2026-06-11,CIPLA.NS,BUY,61.8,0.401,1377.0,1328.79,1449.32,1.5,14832.0,1.48,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.579, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.176, 'confidence': 46.2}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.681, 'confidence': 67.2}, 'sector_mom': {'score': -0.21, 'confidence': 45.5}}"
2026-06-11,MARICO.NS,BUY,63.0,0.367,819.9,787.38,868.68,1.5,15120.0,1.51,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.684, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.05, 'confidence': 56.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': -0.323, 'confidence': 51.1}}"
2026-06-11,ICICIBANK.NS,SELL,66.2,-0.403,1293.3,1339.77,1223.59,1.5,15888.0,1.59,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': -0.684, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': -0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.557, 'confidence': 62.9}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.405, 'confidence': 56.2}, 'sector_mom': {'score': 0.536, 'confidence': 61.8}}"
