date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-02,DIVISLAB.NS,BUY,0.775,70.0,6553.5,6226.21,7044.43,1.5,SIDEWAYS
2026-06-02,TATASTEEL.NS,BUY,0.767,65.0,210.57,201.15,224.69,1.5,SIDEWAYS
2026-06-02,HINDUNILVR.NS,BUY,0.675,66.7,2084.3,1992.89,2221.42,1.5,SIDEWAYS
2026-06-02,BAJFINANCE.NS,BUY,0.675,65.0,889.05,847.26,951.73,1.5,SIDEWAYS
2026-06-02,SUNPHARMA.NS,BUY,0.635,66.2,1796.5,1722.94,1906.84,1.5,SIDEWAYS
2026-06-02,BHARTIARTL.NS,BUY,0.633,65.0,1810.6,1734.2,1925.2,1.5,SIDEWAYS
2026-06-02,ADANIENT.NS,BUY,0.6,60.0,2909.4,2730.69,3177.47,1.5,SIDEWAYS
2026-06-02,DRREDDY.NS,BUY,0.6,65.0,1290.4,1229.07,1382.39,1.5,SIDEWAYS
