date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,hold_days,regime,vix,alpha_breakdown
2026-06-16,HINDUNILVR.NS,SELL,61.9,-0.26,2199.9,2297.19,2053.97,1.5,13437.0,1.34,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.205, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.187, 'confidence': 45.7, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.393, 'confidence': 54.6, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,DABUR.NS,SELL,63.2,-0.267,435.45,455.06,406.03,1.5,13470.0,1.35,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.178, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.304, 'confidence': 50.2, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': -0.393, 'confidence': 54.6, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,ABBOTINDIA.NS,SELL,61.1,-0.308,26100.0,27208.57,24437.14,1.5,13810.0,1.38,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.329, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.177, 'confidence': 46.2, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': -0.391, 'confidence': 54.6, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,AARTIIND.NS,SELL,68.7,-0.324,496.7,530.34,446.25,1.5,9739.0,0.97,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.11, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.75, 'confidence': 79.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.5, 'confidence': 60.0, 'live': False}, 'sector_mom': {'score': 0.106, 'confidence': 40.3, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,TECHM.NS,SELL,63.6,-0.356,1446.8,1542.34,1303.49,1.5,9246.0,0.92,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.342, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.021, 'confidence': 31.1, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.332, 'confidence': 51.6, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,CHOLAFIN.NS,SELL,69.9,-0.366,1680.4,1789.11,1517.33,1.5,10372.0,1.04,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.151, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.9, 'confidence': 80.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.31, 'confidence': 50.5, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.5, 'confidence': 60.0, 'live': False}, 'sector_mom': {'score': -0.051, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,COLPAL.NS,SELL,67.4,-0.372,2096.9,2190.17,1956.99,1.5,14547.0,1.45,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.247, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': -0.5, 'confidence': 65.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.317, 'confidence': 50.9, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': -0.393, 'confidence': 54.6, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,BALKRISIND.NS,SELL,66.6,-0.46,2230.6,2392.93,1987.11,1.5,8786.0,0.88,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.452, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.035, 'confidence': 31.8, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.2, 'confidence': 45.0, 'live': False}, 'sector_mom': {'score': 0.217, 'confidence': 45.9, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,ARE&M.NS,SELL,64.0,-0.48,838.4,882.44,772.35,1.5,11698.0,1.17,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.575, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': 0.074, 'confidence': 33.7, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
2026-06-16,BHARTIHEXA.NS,SELL,73.7,-0.511,1464.4,1533.44,1360.84,1.5,15007.0,1.5,5,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'momentum': {'score': -0.315, 'confidence': 70.0, 'live': True}, 'fii_dii': {'score': 0.0, 'confidence': 0.0, 'live': True}, 'mean_rev': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'delivery_pct': {'score': -0.126, 'confidence': 36.3, 'live': False}, 'option_chain': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'insider': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'fo_ban': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'corp_event': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'hi52': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sector_mom': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'pledge': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'sast': {'score': 0.0, 'confidence': 0.0, 'live': False}, 'shp_delta': {'score': 0.0, 'confidence': 0.0, 'live': False}}"
