date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-27,SUNPHARMA.NS,BUY,0.767,70.0,1840.8,1765.13,1954.31,1.5,SIDEWAYS
2026-05-27,TATASTEEL.NS,BUY,0.767,65.0,210.47,202.09,223.04,1.5,SIDEWAYS
2026-05-27,DIVISLAB.NS,BUY,0.767,70.0,6753.0,6444.36,7215.96,1.5,SIDEWAYS
2026-05-27,BHARTIARTL.NS,BUY,0.633,65.0,1846.9,1766.43,1967.61,1.5,SIDEWAYS
2026-05-27,HINDUNILVR.NS,BUY,0.6,60.0,2209.4,2117.2,2347.7,1.5,SIDEWAYS
2026-05-27,BAJFINANCE.NS,BUY,0.6,60.0,930.2,886.69,995.47,1.5,SIDEWAYS
2026-05-27,NTPC.NS,BUY,0.467,57.5,389.7,374.22,412.92,1.5,SIDEWAYS
2026-05-27,DRREDDY.NS,BUY,0.433,57.5,1327.9,1267.46,1418.56,1.5,SIDEWAYS
2026-05-27,POWERGRID.NS,BUY,0.376,56.2,292.55,280.96,309.94,1.5,SIDEWAYS
2026-05-27,COALINDIA.NS,HOLD,0.3,52.5,458.15,444.41,471.89,1.0,SIDEWAYS
2026-05-27,TITAN.NS,HOLD,0.244,55.0,4105.9,3982.72,4229.08,1.0,SIDEWAYS
2026-05-27,ITC.NS,HOLD,0.171,63.8,301.65,292.6,310.7,1.0,SIDEWAYS
2026-05-27,KOTAKBANK.NS,HOLD,0.0,52.5,388.65,376.99,400.31,1.0,SIDEWAYS
2026-05-27,EICHERMOT.NS,HOLD,0.0,63.8,7376.0,7154.72,7597.28,1.0,SIDEWAYS
2026-05-27,CIPLA.NS,HOLD,-0.011,60.0,1417.5,1374.97,1460.03,1.0,SIDEWAYS
2026-05-27,LT.NS,HOLD,-0.043,65.0,4037.8,3916.67,4158.93,1.0,SIDEWAYS
2026-05-27,ASIANPAINT.NS,HOLD,-0.043,65.0,2647.0,2567.59,2726.41,1.0,SIDEWAYS
2026-05-27,MARUTI.NS,HOLD,-0.129,61.7,13208.0,12811.76,13604.24,1.0,SIDEWAYS
2026-05-27,TCS.NS,HOLD,-0.136,70.0,2276.2,2207.91,2344.49,1.0,SIDEWAYS
2026-05-27,INFY.NS,HOLD,-0.136,70.0,1167.7,1132.67,1202.73,1.0,SIDEWAYS
2026-05-27,HCLTECH.NS,HOLD,-0.136,70.0,1161.9,1127.04,1196.76,1.0,SIDEWAYS
2026-05-27,RELIANCE.NS,HOLD,-0.144,57.5,1356.3,1315.61,1396.99,1.0,SIDEWAYS
2026-05-27,ADANIENT.NS,HOLD,-0.16,68.8,2969.3,2880.22,3058.38,1.0,SIDEWAYS
2026-05-27,SBIN.NS,HOLD,-0.171,70.0,968.5,939.44,997.56,1.0,SIDEWAYS
2026-05-27,BAJAJFINSV.NS,SELL,-0.271,58.3,1800.7,1868.96,1698.31,1.5,SIDEWAYS
2026-05-27,AXISBANK.NS,SELL,-0.294,58.8,1299.3,1347.83,1226.51,1.5,SIDEWAYS
2026-05-27,ICICIBANK.NS,SELL,-0.367,55.0,1279.1,1322.06,1214.66,1.5,SIDEWAYS
2026-05-27,HDFCBANK.NS,SELL,-0.414,56.7,778.9,808.31,734.78,1.5,SIDEWAYS
2026-05-27,WIPRO.NS,SELL,-0.414,56.7,203.73,212.04,191.27,1.5,SIDEWAYS
