date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-03,BAJFINANCE.NS,BUY,0.775,70.0,882.0,839.27,946.09,1.5,SIDEWAYS
2026-06-03,DIVISLAB.NS,BUY,0.775,70.0,6533.0,6223.64,6997.04,1.5,SIDEWAYS
2026-06-03,TATASTEEL.NS,BUY,0.767,65.0,210.6,201.61,224.09,1.5,SIDEWAYS
2026-06-03,CIPLA.NS,BUY,0.767,70.0,1379.3,1327.27,1457.34,1.5,SIDEWAYS
2026-06-03,HINDUNILVR.NS,BUY,0.675,66.7,2093.7,2004.36,2227.71,1.5,SIDEWAYS
2026-06-03,DRREDDY.NS,BUY,0.675,65.0,1274.0,1220.27,1354.59,1.5,SIDEWAYS
2026-06-03,SUNPHARMA.NS,BUY,0.635,66.2,1789.9,1717.27,1898.84,1.5,SIDEWAYS
2026-06-03,BHARTIARTL.NS,BUY,0.633,65.0,1814.2,1739.21,1926.68,1.5,SIDEWAYS
