date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-03,BAJFINANCE.NS,BUY,0.775,70.0,882.0,839.27,946.09,1.5,SIDEWAYS
2026-06-03,DIVISLAB.NS,BUY,0.775,70.0,6533.0,6223.64,6997.04,1.5,SIDEWAYS
2026-06-03,TATASTEEL.NS,BUY,0.767,65.0,210.6,201.61,224.09,1.5,SIDEWAYS
2026-06-03,CIPLA.NS,BUY,0.767,70.0,1379.3,1327.27,1457.34,1.5,SIDEWAYS
2026-06-03,EICHERMOT.NS,BUY,0.729,66.7,7141.5,6791.64,7666.29,1.5,SIDEWAYS
2026-06-03,HINDUNILVR.NS,BUY,0.675,66.7,2093.7,2004.36,2227.71,1.5,SIDEWAYS
2026-06-03,DRREDDY.NS,BUY,0.675,65.0,1274.0,1220.27,1354.59,1.5,SIDEWAYS
2026-06-03,SUNPHARMA.NS,BUY,0.635,66.2,1789.9,1717.27,1898.84,1.5,SIDEWAYS
2026-06-03,BHARTIARTL.NS,BUY,0.633,65.0,1814.2,1739.21,1926.68,1.5,SIDEWAYS
2026-06-03,SBIN.NS,BUY,0.471,70.0,956.65,925.47,1003.42,1.5,SIDEWAYS
2026-06-03,ASIANPAINT.NS,BUY,0.433,57.5,2660.7,2541.99,2838.77,1.5,SIDEWAYS
2026-06-03,RELIANCE.NS,BUY,0.408,60.0,1314.6,1266.39,1386.92,1.5,SIDEWAYS
2026-06-03,AXISBANK.NS,BUY,0.371,60.0,1251.1,1203.54,1322.44,1.5,SIDEWAYS
2026-06-03,NTPC.NS,BUY,0.35,63.0,367.4,350.91,392.14,1.5,SIDEWAYS
2026-06-03,POWERGRID.NS,BUY,0.329,58.8,282.15,268.65,302.4,1.5,SIDEWAYS
2026-06-03,LT.NS,HOLD,0.3,52.5,4000.9,3880.87,4120.93,1.0,SIDEWAYS
2026-06-03,MARUTI.NS,HOLD,0.3,52.5,13022.0,12631.34,13412.66,1.0,SIDEWAYS
2026-06-03,KOTAKBANK.NS,HOLD,0.229,63.3,379.05,367.68,390.42,1.0,SIDEWAYS
2026-06-03,BAJAJFINSV.NS,HOLD,0.229,63.3,1741.4,1689.16,1793.64,1.0,SIDEWAYS
2026-06-03,ICICIBANK.NS,HOLD,0.212,63.8,1226.6,1189.8,1263.4,1.0,SIDEWAYS
2026-06-03,ADANIENT.NS,HOLD,0.171,57.5,2968.1,2879.06,3057.14,1.0,SIDEWAYS
2026-06-03,ITC.NS,HOLD,0.124,66.2,283.25,274.75,291.75,1.0,SIDEWAYS
2026-06-03,HDFCBANK.NS,HOLD,0.086,61.7,748.25,725.8,770.7,1.0,SIDEWAYS
2026-06-03,TITAN.NS,HOLD,0.067,62.5,4078.1,3955.76,4200.44,1.0,SIDEWAYS
2026-06-03,COALINDIA.NS,HOLD,-0.041,62.5,472.15,457.99,486.31,1.0,SIDEWAYS
2026-06-03,WIPRO.NS,SELL,-0.482,60.0,209.84,218.29,197.16,1.5,SIDEWAYS
2026-06-03,TCS.NS,SELL,-0.56,69.0,2446.9,2551.07,2290.64,1.5,SIDEWAYS
2026-06-03,INFY.NS,SELL,-0.56,69.0,1270.8,1326.54,1187.19,1.5,SIDEWAYS
2026-06-03,HCLTECH.NS,SELL,-0.56,69.0,1243.5,1291.23,1171.91,1.5,SIDEWAYS
