date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-05-29,BHARTIARTL.NS,BUY,0.411,62.5,,,,0,SIDEWAYS
2026-05-29,SUNPHARMA.NS,BUY,0.371,60.0,,,,0,SIDEWAYS
2026-05-29,TITAN.NS,HOLD,0.244,55.0,,,,0,SIDEWAYS
2026-05-29,COALINDIA.NS,HOLD,0.244,55.0,,,,0,SIDEWAYS
2026-05-29,POWERGRID.NS,HOLD,0.078,50.0,,,,0,SIDEWAYS
2026-05-29,DRREDDY.NS,HOLD,0.078,50.0,,,,0,SIDEWAYS
2026-05-29,TCS.NS,HOLD,-0.021,65.0,,,,0,SIDEWAYS
2026-05-29,INFY.NS,HOLD,-0.021,65.0,,,,0,SIDEWAYS
2026-05-29,ITC.NS,HOLD,-0.021,65.0,,,,0,SIDEWAYS
2026-05-29,SBIN.NS,HOLD,-0.057,65.0,,,,0,SIDEWAYS
2026-05-29,TATASTEEL.NS,HOLD,-0.057,65.0,,,,0,SIDEWAYS
2026-05-29,EICHERMOT.NS,HOLD,-0.057,65.0,,,,0,SIDEWAYS
2026-05-29,NTPC.NS,HOLD,-0.164,63.3,,,,0,SIDEWAYS
2026-05-29,RELIANCE.NS,HOLD,-0.2,45.0,,,,0,SIDEWAYS
2026-05-29,HINDUNILVR.NS,HOLD,-0.2,45.0,,,,0,SIDEWAYS
2026-05-29,DIVISLAB.NS,HOLD,-0.2,45.0,,,,0,SIDEWAYS
2026-05-29,LT.NS,SELL,-0.271,60.0,,,,0,SIDEWAYS
2026-05-29,AXISBANK.NS,SELL,-0.271,60.0,,,,0,SIDEWAYS
2026-05-29,ASIANPAINT.NS,SELL,-0.271,60.0,,,,0,SIDEWAYS
2026-05-29,MARUTI.NS,SELL,-0.271,60.0,,,,0,SIDEWAYS
2026-05-29,HDFCBANK.NS,HOLD,-0.367,52.5,,,,0,SIDEWAYS
2026-05-29,KOTAKBANK.NS,SELL,-0.367,55.0,,,,0,SIDEWAYS
2026-05-29,WIPRO.NS,HOLD,-0.367,52.5,,,,0,SIDEWAYS
2026-05-29,BAJFINANCE.NS,SELL,-0.367,55.0,,,,0,SIDEWAYS
2026-05-29,ICICIBANK.NS,SELL,-0.414,56.7,,,,0,SIDEWAYS
2026-05-29,HCLTECH.NS,SELL,-0.533,57.5,,,,0,SIDEWAYS
2026-05-29,CIPLA.NS,SELL,-0.557,61.7,,,,0,SIDEWAYS
2026-05-29,BAJAJFINSV.NS,SELL,-0.557,61.7,,,,0,SIDEWAYS
2026-05-29,ADANIENT.NS,SELL,-0.589,62.5,,,,0,SIDEWAYS
