date,symbol,signal,confidence,composite_score,price,stop_loss,target,risk_reward,position_size_inr,position_pct,regime,vix,alpha_breakdown
2026-06-10,TATASTEEL.NS,BUY,67.5,0.906,203.18,194.34,216.44,1.5,16200.0,1.62,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.93, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.32, 'confidence': 51.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.728, 'confidence': 69.1}, 'sector_mom': {'score': 0.005, 'confidence': 0.0}}"
2026-06-10,HINDALCO.NS,BUY,68.8,0.812,1076.7,1017.96,1164.81,1.5,16512.0,1.65,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.965, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.3, 'confidence': 50.0}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.005, 'confidence': 0.0}}"
2026-06-10,NTPC.NS,BUY,69.1,0.696,355.65,338.4,381.52,1.5,16584.0,1.66,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.614, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.55, 'confidence': 62.5}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': -0.017, 'confidence': 0.0}, 'sector_mom': {'score': -0.579, 'confidence': 63.9}}"
2026-06-10,COALINDIA.NS,BUY,63.5,0.604,466.9,439.34,508.24,1.5,15240.0,1.52,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.579, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.266, 'confidence': 48.3}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.808, 'confidence': 72.3}, 'sector_mom': {'score': 0.005, 'confidence': 0.0}}"
2026-06-10,BAJAJ-AUTO.NS,BUY,63.5,0.601,10184.0,9771.43,10802.86,1.5,15240.0,1.52,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.754, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.223, 'confidence': 46.2}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.861, 'confidence': 74.4}, 'sector_mom': {'score': 0.009, 'confidence': 0.0}}"
2026-06-10,SIEMENS.NS,BUY,69.5,0.572,3619.8,3367.61,3998.08,1.5,16680.0,1.67,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.298, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': -0.351, 'confidence': 52.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.786, 'confidence': 70.0}}"
2026-06-10,ONGC.NS,BUY,61.3,0.538,259.0,246.85,277.23,1.5,14712.0,1.47,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.825, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.148, 'confidence': 47.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.129, 'confidence': 45.2}, 'sector_mom': {'score': -0.579, 'confidence': 63.9}}"
2026-06-10,TATAPOWER.NS,BUY,67.0,0.476,398.65,382.81,422.4,1.5,16080.0,1.61,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.088, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.313, 'confidence': 50.7}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.754, 'confidence': 70.2}, 'sector_mom': {'score': -0.579, 'confidence': 63.9}}"
2026-06-10,TATACONSUM.NS,BUY,61.2,0.454,1106.5,1055.63,1182.81,1.5,14688.0,1.47,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.404, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.9, 'confidence': 80.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': -0.032, 'confidence': 31.6}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.461, 'confidence': 58.4}, 'sector_mom': {'score': -0.618, 'confidence': 65.9}}"
2026-06-10,GRASIM.NS,BUY,64.4,0.441,3095.5,2992.96,3249.31,1.5,15456.0,1.55,SIDEWAYS,15.0,"{'pead': {'score': 0.0, 'confidence': 0.0}, 'momentum': {'score': 0.439, 'confidence': 70.0}, 'fii_dii': {'score': 0.0, 'confidence': 0.0}, 'mean_rev': {'score': 0.0, 'confidence': 0.0}, 'bulk_deal': {'score': 0.0, 'confidence': 0.0}, 'delivery_pct': {'score': 0.137, 'confidence': 48.1}, 'option_chain': {'score': 0.0, 'confidence': 0.0}, 'insider': {'score': 0.0, 'confidence': 0.0}, 'fo_ban': {'score': 0.0, 'confidence': 0.0}, 'corp_event': {'score': 0.0, 'confidence': 0.0}, 'rel_strength': {'score': 0.9, 'confidence': 75.0}, 'sector_mom': {'score': 0.009, 'confidence': 0.0}}"
