date,symbol,signal,composite_score,confidence,price,stop_loss,target,risk_reward,regime
2026-06-04,TATASTEEL.NS,BUY,0.767,65.0,211.89,202.75,225.6,1.5,SIDEWAYS
2026-06-04,CIPLA.NS,BUY,0.767,70.0,1375.2,1331.77,1440.34,1.5,SIDEWAYS
2026-06-04,HINDUNILVR.NS,BUY,0.675,66.7,2090.6,2003.19,2221.72,1.5,SIDEWAYS
2026-06-04,BAJFINANCE.NS,BUY,0.675,66.7,876.8,835.14,939.29,1.5,SIDEWAYS
2026-06-04,DRREDDY.NS,BUY,0.675,66.7,1263.3,1214.49,1336.52,1.5,SIDEWAYS
2026-06-04,DIVISLAB.NS,BUY,0.675,65.0,6576.5,6265.21,7043.43,1.5,SIDEWAYS
2026-06-04,NTPC.NS,BUY,0.653,66.2,366.8,350.24,391.64,1.5,SIDEWAYS
2026-06-04,SUNPHARMA.NS,BUY,0.635,66.2,1788.5,1715.63,1897.81,1.5,SIDEWAYS
2026-06-04,ADANIENT.NS,BUY,0.6,60.0,2925.6,2765.77,3165.34,1.5,SIDEWAYS
2026-06-04,EICHERMOT.NS,BUY,0.586,61.7,7130.0,6803.14,7620.29,1.5,SIDEWAYS
2026-06-04,LT.NS,BUY,0.514,61.7,3953.2,3820.56,4152.16,1.5,SIDEWAYS
2026-06-04,MARUTI.NS,BUY,0.514,61.7,13044.0,12536.0,13806.0,1.5,SIDEWAYS
2026-06-04,ASIANPAINT.NS,BUY,0.433,57.5,2662.4,2544.31,2839.53,1.5,SIDEWAYS
2026-06-04,BHARTIARTL.NS,BUY,0.411,57.5,1824.1,1757.87,1923.44,1.5,SIDEWAYS
2026-06-04,RELIANCE.NS,BUY,0.408,60.0,1313.2,1264.5,1386.25,1.5,SIDEWAYS
2026-06-04,POWERGRID.NS,BUY,0.376,58.8,285.05,271.74,305.02,1.5,SIDEWAYS
2026-06-04,AXISBANK.NS,BUY,0.371,60.0,1255.2,1207.46,1326.81,1.5,SIDEWAYS
2026-06-04,SBIN.NS,HOLD,0.233,65.0,970.45,941.34,999.56,1.0,SIDEWAYS
2026-06-04,BAJAJFINSV.NS,HOLD,0.229,63.3,1734.4,1682.37,1786.43,1.0,SIDEWAYS
2026-06-04,ITC.NS,HOLD,0.124,66.2,277.0,268.69,285.31,1.0,SIDEWAYS
2026-06-04,KOTAKBANK.NS,HOLD,0.086,58.3,381.0,369.57,392.43,1.0,SIDEWAYS
2026-06-04,TITAN.NS,HOLD,0.067,62.5,4088.8,3966.14,4211.46,1.0,SIDEWAYS
2026-06-04,COALINDIA.NS,HOLD,-0.041,62.5,472.3,458.13,486.47,1.0,SIDEWAYS
2026-06-04,ICICIBANK.NS,HOLD,-0.057,56.7,1242.0,1204.74,1279.26,1.0,SIDEWAYS
2026-06-04,WIPRO.NS,SELL,-0.45,56.7,204.1,213.01,190.73,1.5,SIDEWAYS
2026-06-04,TCS.NS,SELL,-0.487,62.5,2241.7,2361.53,2061.96,1.5,SIDEWAYS
2026-06-04,HDFCBANK.NS,SELL,-0.533,57.5,753.65,782.26,710.74,1.5,SIDEWAYS
2026-06-04,INFY.NS,SELL,-0.633,61.7,1222.6,1278.49,1138.77,1.5,SIDEWAYS
2026-06-04,HCLTECH.NS,SELL,-0.711,65.0,1179.0,1228.64,1104.54,1.5,SIDEWAYS
