symbol
HDFCBANK.NS
ICICIBANK.NS
RELIANCE.NS
BSE.NS
BHARTIARTL.NS
INFY.NS
SBIN.NS
M&M.NS
TCS.NS
BAJFINANCE.NS
AXISBANK.NS
LT.NS
GROWW.NS
MARUTI.NS
KOTAKBANK.NS
HINDALCO.NS
ADANIENT.NS
TATASTEEL.NS
ADANIPOWER.NS
ATHERENERG.NS
BEL.NS
HCLTECH.NS
BHEL.NS
ITC.NS
EICHERMOT.NS
TECHM.NS
BAJAJ-AUTO.NS
SUNPHARMA.NS
ADANIENSOL.NS
ADANIPORTS.NS
HAL.NS
ADANIGREEN.NS
NTPC.NS
CGPOWER.NS
TITAN.NS
HEROMOTOCO.NS
HINDUNILVR.NS
ONGC.NS
ULTRACEMCO.NS
NESTLEIND.NS
ASHOKLEY.NS
PFC.NS
TRENT.NS
APARINDS.NS
COALINDIA.NS
APOLLOHOSP.NS
BANKBARODA.NS
CANBK.NS
ASIANPAINT.NS
DLF.NS
CHOLAFIN.NS
GRASIM.NS
POWERGRID.NS
WIPRO.NS
DRREDDY.NS
HDFCAMC.NS
AMBER.NS
BAJAJFINSV.NS
BPCL.NS
JSWSTEEL.NS
BHARATFORG.NS
AEGISLOG.NS
RECLTD.NS
TATAPOWER.NS
SBILIFE.NS
ABB.NS
DMART.NS
ANGELONE.NS
HDFCLIFE.NS
TATACONSUM.NS
INDUSINDBK.NS
BOSCHLTD.NS
BDL.NS
BRITANNIA.NS
AUBANK.NS
ABCAPITAL.NS
BANDHANBNK.NS
AUROPHARMA.NS
MARICO.NS
CIPLA.NS
BIOCON.NS
GAIL.NS
PIDILITIND.NS
SIEMENS.NS
APLAPOLLO.NS
MAHABANK.NS
ACUTAAS.NS
BANKINDIA.NS
360ONE.NS
AMBUJACEM.NS
ANANTRAJ.NS
BELRISE.NS
ATGL.NS
ASTRAL.NS
CPPLUS.NS
DABUR.NS
ICICIPRULI.NS
COLPAL.NS
ACMESOLAR.NS
ALKEM.NS
AWL.NS
ASTERDM.NS
ANANDRATHI.NS
BAJAJHLDNG.NS
BLUESTARCO.NS
ARE&M.NS
ANTHEM.NS
BEML.NS
BALRAMCHIN.NS
AARTIIND.NS
BSOFT.NS
BALKRISIND.NS
ACE.NS
AFFLE.NS
BLUEJET.NS
BRIGADE.NS
AJANTPHARM.NS
APOLLOTYRE.NS
BLS.NS
ANURAS.NS
ABSLAMC.NS
AEGISVOPAK.NS
BAJAJHFL.NS
MAPMYINDIA.NS
AIAENG.NS
APTUS.NS
ABBOTINDIA.NS
ABFRL.NS
CRISIL.NS
BHARTIHEXA.NS
CESC.NS
ATUL.NS
ABREL.NS
CCL.NS
FIRSTCRY.NS
ABDL.NS
ACC.NS
CANFINHOME.NS
BERGEPAINT.NS
AIIL.NS
AADHARHFC.NS
BATAINDIA.NS
AFCONS.NS
AAVAS.NS
CIEINDIA.NS
3MINDIA.NS
BAYERCROP.NS
ASAHIINDIA.NS
ABLBL.NS
BIKAJI.NS
